Date,Open,High,Low,Close,Volume
2016-06-06,118.62,119.43,118.36,118.79,12370713
2016-06-07,119.24,119.3,117.67,117.76,16357512
2016-06-08,117.76,118.6,117.27,118.39,13538374
2016-06-09,118.13,118.68,117.71,118.56,12160865
2016-06-10,117.54,118.11,116.26,116.62,17165181
2016-06-13,115,115.48,113.31,113.95,30974633
2016-06-14,114.07,114.95,113.58,114.93,16768112
2016-06-15,115.3,115.44,114.07,114.6,17805166
2016-06-16,113.87,114.5,112.94,114.39,18772671
2016-06-17,114.42,114.43,112.56,113.02,22159389
2016-06-20,113.77,114.72,112.75,113.37,19987694
2016-06-21,114.12,115.214,113.97,114.38,18405746
2016-06-22,114.65,114.74,113.61,113.91,13397233
2016-06-23,114.37,115.09,113.54,115.08,14698375
2016-06-24,111.01,113.68,111,112.08,37632693
2016-06-27,111.57,111.57,108.23,108.97,35342587
2016-06-28,110.63,112.75,110.55,112.7,25711141
2016-06-29,113.37,114.25,113.04,114.16,20085792
2016-06-30,114.67,115.18,113.67,114.28,22305802
2016-07-01,114.2,115.13,113.81,114.19,13754112
2016-07-05,113.94,114.25,112.97,114.2,14068252
2016-07-06,113.36,116.79,112.97,116.7,22079562
2016-07-07,116.63,116.97,115.36,115.85,16253926
2016-07-08,116.43,117.5,115.85,117.24,17609821
2016-07-11,117.71,118.7,117.5,117.87,16960490
2016-07-12,118.63,118.72,117.57,117.93,14878483
2016-07-13,118.39,118.4,116.68,116.78,15069957
2016-07-14,117.5,117.64,116.7,117.29,13942329
2016-07-15,117.74,118.28,116.58,116.86,15362140
2016-07-18,117.32,119.61,116.89,119.37,19162315
2016-07-19,118.99,120.85,118.66,120.61,20978937
2016-07-20,121.25,122.2,120.56,121.92,17958095
2016-07-21,121.92,122.1,120.25,120.61,17149312
2016-07-22,119.9,121.01,119.31,121,17606557
2016-07-25,121.39,121.85,117.78,121.63,17893874
2016-07-26,122,122.07,120.75,121.22,15483870
2016-07-27,122.42,125,121.51,123.34,38925756
2016-07-28,127.52,128.33,123.63,125,77533490
2016-07-29,124.65,125.84,123.71,123.94,33402493
2016-08-01,123.85,124.58,122.86,124.31,23704434
2016-08-02,124.06,124.8,122.07,123.06,23075729
2016-08-03,123.09,123.92,122.31,122.51,17426472
2016-08-04,122.94,124.79,122.51,124.36,20430908
2016-08-05,124.98,125.835,124.618,125.15,19490136
2016-08-08,125.25,125.45,124.55,125.26,13324914
