Date,Open,High,Low,Close,Volume
2016-08-10,52.0307,52.1744,51.7258,51.9078,16407342.704384
2016-08-11,51.9165,52.2906,51.9165,52.1558,17774612.816586
2016-08-12,51.9165,52.0581,51.5482,51.8335,22549791.361792
2016-08-15,51.8978,52.3355,51.852,51.9937,19102911.294383
2016-08-16,51.8608,51.8695,51.5552,51.7074,19349355.563091
2016-08-17,51.7983,51.9253,51.518,51.8167,19460831.944767
2016-08-18,51.6878,51.9428,51.5552,51.851,13688242.680128
2016-08-19,51.6976,51.9682,51.4914,51.8695,17570693.854758
2016-08-22,51.851,51.9837,51.5453,51.9155,15761577.654455
2016-08-23,52.1195,52.3737,52.0757,52.1118,18739277.739231
2016-08-24,52.0307,52.2465,51.9557,52.1664,18224564.472258
2016-08-25,52.1031,52.4732,52.0122,52.3647,17832291.654553
2016-08-26,52.4644,52.8423,51.9348,52.2465,20903457.113717
2016-08-29,52.3737,52.7505,52.3022,52.3022,14124039.027323
2016-08-30,52.1948,52.3835,51.8608,52.1118,17765126.118454
2016-08-31,51.8968,52.0307,51.5814,51.7248,21248166.415874
2016-09-01,51.3188,52.0484,51.3188,51.8325,25970151.470028
2016-09-02,51.9155,52.3835,51.6878,51.9155,19764023.377011
2016-09-06,52.0122,52.0307,51.5014,51.8608,16646716.48558
2016-09-07,51.7337,52.067,51.6733,51.9068,18298765.686057
2016-09-08,51.8775,52.021,51.473,51.6976,20015467.973118
2016-09-09,51.1204,51.7797,50.6017,50.6017,34698131.823948
2016-09-12,50.4114,51.4964,50.0597,51.3567,27425159.718398
2016-09-13,50.8595,50.9974,50.4553,50.8869,31768307.519228
2016-09-14,50.7629,50.9778,50.4367,50.6436,22569407.715795
2016-09-15,50.546,51.6254,50.3929,51.4818,23301243.102277
2016-09-16,51.8775,51.8775,51.0882,51.5355,43793093.618069
2016-09-19,51.5552,51.9837,51.1761,51.2484,21695070.165188
2016-09-20,51.6254,51.6254,51.0882,51.1378,17815353.608591
2016-09-21,51.7698,52.0757,51.3831,51.9937,35659016.810322
2016-09-22,52.1392,52.2123,51.8775,52.0484,20511226.272553
2016-09-23,52.0933,52.1295,51.6516,51.6976,20918212.379578
2016-09-26,51.3831,51.4378,51.1577,51.221,22205518.206129
2016-09-27,51.2484,52.2632,51.0246,52.1664,26348722.530656
2016-09-28,52.1031,52.2632,51.9155,52.2388,20857732.375403
2016-09-29,52.0394,52.3627,51.5014,51.6693,26737129.411372
2016-09-30,51.8237,52.0024,51.6165,51.851,22039693.466628
2016-10-03,51.6733,51.808,51.3657,51.6878,20716645.127834
2016-10-04,51.5552,51.8471,51.2834,51.5276,21321948.888086
2016-10-05,51.5736,52.1753,51.5453,51.8871,16846345.64974
2016-10-06,51.975,52.0853,51.5649,51.975,17175659.799749
2016-10-07,52.0757,52.1948,51.6878,52.0307,21077370.015881
2016-10-10,52.1295,52.5612,52.0933,52.2465,18888419.363466
2016-10-11,52.1118,52.2311,51.2113,51.4818,26662395.812183
2016-10-12,51.4115,51.5552,50.7719,51.4115,23152386.099462
2016-10-13,51.0423,51.5814,50.6934,51.2385,25952347.273989
2016-10-14,51.4203,51.975,51.4203,51.6878,28706781.307085
2016-10-17,51.6341,51.7248,51.1946,51.5103,24139080.515276
2016-10-18,51.7896,52.1615,51.6782,51.9068,20277864.350998
2016-10-19,51.7337,52.067,51.6645,51.7896,23925499.782431
2016-10-20,51.7602,51.7797,51.0071,51.5355,46793446.701211
2016-10-21,54.2616,54.4179,53.5504,53.7048,85275893.667418
2016-10-24,53.9619,54.9112,53.9521,54.9112,56480862.315133
2016-10-25,54.7784,55.2452,54.7324,54.9013,37083752.806333
2016-10-26,54.7412,55.0917,54.4364,54.5791,31026170.475442
2016-10-27,54.5594,54.7597,54.0897,54.0995,30381170.217602
2016-10-28,54.0222,54.4786,53.6316,53.8963,35322106.954135
2016-10-31,54.1533,54.3924,53.9422,53.9422,29365596.965808
2016-11-01,53.9882,54.031,53.3365,53.8298,27253037.474018
2016-11-02,53.8485,53.9521,53.3805,53.5015,24602513.807145
2016-11-03,53.5906,53.6863,53.2088,53.3004,23995335.436028
2016-11-04,52.7964,53.362,52.6793,52.8502,31878745.749393
2016-11-07,53.8124,54.4786,53.8124,54.3924,31627438.344908
2016-11-08,54.5068,54.7129,54.1445,54.4364,23922479.519158
2016-11-09,54.0136,54.5409,53.2907,54.1629,52020136.176997
2016-11-10,54.4442,54.4541,51.8775,52.8423,61757968.687397
2016-11-11,52.4186,53.2137,52.2212,53.1296,38704589.889475
2016-11-14,53.1296,53.1851,51.5649,52.3178,45910639.103805
2016-11-15,52.8609,53.916,52.8492,53.3523,39617292.974193
2016-11-16,53.4138,54.0672,49.1845,54.0585,27847806.146448
2016-11-17,54.749,55.2382,54.3455,54.9551,33522939.193906
2016-11-18,55.0841,55.4104,54.6475,54.6923,29121517.716815
2016-11-21,54.8291,55.2559,54.7578,55.1542,20105131.911056
2016-11-22,55.2657,55.5197,55.1065,55.3829,18722069.405302
2016-11-23,55.292,55.3731,54.6024,54.7392,22933549.084704
2016-11-25,54.6475,54.8565,54.4941,54.8565,8768157.0221754
2016-11-28,54.6825,55.3009,54.5663,54.9298,21470223.338427
2016-11-29,54.9648,55.6544,54.8475,55.3634,23148777.140805
2016-11-30,55.1542,55.4454,54.5712,54.6112,33590298.231619
2016-12-01,54.4746,54.5126,53.4088,53.6492,35025373.766205
2016-12-02,53.5447,53.8983,53.2878,53.6959,26600609.416164
2016-12-05,54.1023,54.9052,53.9803,54.5762,24836505.376807
2016-12-06,54.7665,54.7939,54.1952,54.3319,20163952.306159
2016-12-07,54.3886,55.6281,54.1952,55.6195,31282250.919717
2016-12-08,55.5558,55.8049,55.1369,55.292,22913642.99019
2016-12-09,55.4454,56.1798,55.3955,56.1625,27847765.193726
2016-12-12,56.0246,56.4601,55.9376,56.344,21800159.969815
2016-12-13,56.641,57.4761,56.4056,57.0757,36863208.063054
2016-12-14,57.0951,57.5015,56.6684,56.8157,28204570.906246
2016-12-15,56.8245,57.2339,56.4601,56.7132,28481367.285119
2016-12-16,57.0512,57.0512,56.2941,56.4601,41968934.459031
2016-12-19,56.6965,57.7935,56.5706,57.6598,31431023.969452
2016-12-20,57.7203,57.8219,57.1166,57.5843,23992231.219673
2016-12-21,57.4837,57.7299,57.2023,57.5941,16762557.40364
2016-12-22,57.8549,58.0943,57.4624,57.5941,23530827.135197
2016-12-23,57.5015,57.5843,56.9146,57.3129,13248737.040105
2016-12-27,57.2846,58.0651,57.2846,57.352,12319172.695781
2016-12-28,57.4574,57.4574,56.9408,57.0853,14785140.871771
2016-12-29,56.9691,57.2759,56.8501,57.0052,10910608.929822
2016-12-30,57.0591,57.0853,56.2133,56.3176,28225356.460471
2017-01-03,56.9056,56.9496,56.3041,56.7132,21858595.409328
2017-01-04,56.6234,56.8675,56.2991,56.4601,18612206.560884
2017-01-05,56.3608,56.7873,56.2133,56.4601,23564004.983203
2017-01-06,56.4601,57.2309,56.2229,56.9496,19392406.088639
2017-01-09,56.8763,57.1694,56.6773,56.7698,20516586.983907
2017-01-10,56.8501,57.1595,56.4427,56.7503,18798105.301061
2017-01-11,56.7415,57.3031,56.5785,57.2681,22545184.180529
2017-01-12,57.1507,57.4574,56.1456,56.7415,22774744.665632
2017-01-13,56.7503,56.973,56.506,56.8245,20383293.039402
2017-01-17,56.807,56.8245,56.2133,56.6684,20204765.789248
2017-01-18,56.7973,56.8245,56.2991,56.641,19699738.864929
2017-01-19,56.4056,57.0757,56.3654,56.4601,19988791.369782
2017-01-20,56.7973,56.9309,56.5258,56.8578,30122177.010948
2017-01-23,56.8245,57.1994,56.7053,57.0591,23791777.881976
2017-01-24,57.2759,57.7632,57.0423,57.5611,23224298.056081
2017-01-25,57.9565,58.0943,57.5015,57.7105,24959005.207521
2017-01-26,58.1138,58.4861,57.5941,58.2457,41194416.097686
2017-01-27,59.2605,59.7323,58.8092,59.6161,47992476.88711
2017-01-30,59.5321,59.6258,58.7282,59.0261,33783384.174566
2017-01-31,58.7819,59.0448,58.2369,58.5894,23784759.609185
2017-02-01,58.3247,58.5641,57.5191,57.6225,41845283.856819
