Date,Open,High,Low,Close,Volume
2016-06-06,36.325,36.575,36.221,36.3365,40553460
2016-06-07,36.4945,36.5,36.0275,36.187,42266000
2016-06-08,36.32,36.471,36.08,36.332,32320680
2016-06-09,36.155,36.4455,36.115,36.3825,39159600
2016-06-10,36.1175,36.249,35.7105,35.901,57297780
2016-06-13,35.7005,36.0995,35.558,35.762,46279120
2016-06-14,35.6165,36.0402,35.6135,35.965,36090040
2016-06-15,36.1,36.128,35.6676,35.713,44850340
2016-06-16,35.6025,35.9,35.265,35.8755,43891540
2016-06-17,35.9095,35.91,34.959,35.3195,100658740
2016-06-20,35.675,36.0655,35.5405,35.7005,53201240
2016-06-21,35.786,35.92,35.636,35.791,36672880
2016-06-22,35.829,35.85,35.3782,35.53,32082260
2016-06-23,35.775,36.106,35.625,36.104,46664360
2016-06-24,34.65,35.6264,34.61,34.948,141258420
2016-06-27,34.6005,34.841,34.1058,34.568,99330000
2016-06-28,35,35.4,34.9086,35.3975,73526220
2016-06-29,35.7875,35.975,35.677,35.773,43673460
2016-06-30,35.86,35.9685,35.627,35.781,46810560
2016-07-01,35.866,36.4,35.827,36.281,51660740
2016-07-05,36.14,36.478,35.9805,36.405,39571240
2016-07-06,36.2855,36.8885,36.129,36.8785,72800680
2016-07-07,36.9665,36.9771,36.5815,36.8285,44845240
2016-07-08,37.007,37.305,36.9,37.2905,55811760
2016-07-11,37.5,37.795,37.35,37.689,48256760
2016-07-12,37.843,37.867,37.0165,37.4105,88228600
2016-07-13,37.338,37.8435,37.0625,37.1315,66712620
2016-07-14,37.443,37.452,36.951,37.06,45870760
2016-07-15,37.3275,37.3275,36.7025,36.7715,50355780
2016-07-18,36.7745,37.0798,36.436,36.8035,53866780
2016-07-19,36.625,37.1665,36.6155,36.9975,41067900
2016-07-20,37.2,37.3125,37.035,37.286,39872580
2016-07-21,37.375,37.468,37.1396,37.2215,35023020
2016-07-22,37.3895,37.564,37.1765,37.243,35510940
2016-07-25,37.3275,37.425,36.7675,36.9805,47924420
2016-07-26,37.1355,37.1565,36.6376,36.7795,40502820
2016-07-27,36.8985,37.047,36.693,36.8335,40579820
2016-07-28,37.299,37.668,36.985,37.6305,88152820
