Date,Open,High,Low,Close,Volume
2016-01-06,0.789392,0.792936,0.760295,0.769331,402251715
2016-01-07,0.75004,0.755254,0.729103,0.738777,586979770
2016-01-08,0.748343,0.74906,0.721362,0.72296,378002116
2016-01-11,0.72369,0.729322,0.711237,0.72419,419483895
2016-01-12,0.737079,0.747116,0.731249,0.73636,449925952
2016-01-13,0.741953,0.746866,0.713235,0.713934,464089740
2016-01-14,0.699267,0.707605,0.678826,0.699516,559394681
2016-01-15,0.671458,0.679586,0.64998,0.661433,798563047
2016-01-19,0.675131,0.694124,0.664127,0.666765,468395517
2016-01-20,0.654213,0.679086,0.645367,0.670461,451220501
2016-01-21,0.677827,0.688792,0.663868,0.678326,379668439
2016-01-22,0.691238,0.698787,0.68977,0.694124,227333609
2016-01-25,0.693894,0.701841,0.691807,0.693424,250308688
2016-01-26,0.694873,0.703161,0.687674,0.700264,196272018
2016-01-27,0.699267,0.701342,0.678706,0.691937,207306162
2016-01-28,0.697549,0.700016,0.67096,0.684479,261016766
2016-01-29,0.69027,0.715931,0.687574,0.714653,290991607
2016-02-01,0.713934,0.718508,0.707824,0.714913,271077810
2016-02-02,0.707605,0.711237,0.679825,0.684719,317314815
2016-02-03,0.69001,0.694124,0.672217,0.688043,272900476
2016-02-04,0.689012,0.703909,0.681582,0.688292,310796872
2016-02-05,0.683721,0.691238,0.64289,0.644868,552101882
2016-02-08,0.635082,0.638248,0.606376,0.61539,562575631
2016-02-09,0.608072,0.647784,0.605126,0.621882,385907167
2016-02-10,0.625807,0.643889,0.617057,0.620514,323910975
2016-02-11,0.604626,0.62361,0.604626,0.617287,299427448
2016-02-12,0.627043,0.628971,0.603876,0.627802,307993344
2016-02-16,0.636781,0.659507,0.634832,0.658508,415661128
2016-02-17,0.666765,0.681323,0.664127,0.674901,682089439
2016-02-18,0.730281,0.755803,0.729552,0.732907,1018990264
2016-02-19,0.729103,0.74931,0.72343,0.742672,463637035
2016-02-22,0.753457,0.777608,0.751977,0.769091,416075165
2016-02-23,0.762951,0.778367,0.759296,0.77101,353748632
2016-02-24,0.767833,0.777568,0.746616,0.776393,320941901
2016-02-25,0.779365,0.781982,0.764209,0.778108,332377813
2016-02-26,0.781733,0.7836,0.765168,0.772957,337790289
2016-02-29,0.774055,0.7841,0.767467,0.767932,267058530
2016-03-01,0.769931,0.801942,0.768691,0.801942,310158921
2016-03-02,0.797569,0.809552,0.796072,0.806655,221523059
2016-03-03,0.805647,0.809043,0.788823,0.799526,207787570
2016-03-04,0.805647,0.806407,0.791039,0.797071,164096288
2016-03-07,0.792656,0.798049,0.781534,0.791936,184693173
2016-03-08,0.78386,0.788573,0.774915,0.777509,223214470
2016-03-09,0.78436,0.785458,0.766967,0.777012,212620773
2016-03-10,0.781634,0.786077,0.760125,0.775793,292065347
2016-03-11,0.787324,0.789322,0.778008,0.789072,261150615
2016-03-14,0.785359,0.794136,0.781634,0.791039,194292679
2016-03-15,0.786826,0.791936,0.773057,0.787075,230945211
2016-03-16,0.781164,0.813236,0.777509,0.810539,371243664
2016-03-17,0.807604,0.811519,0.792756,0.80369,361070964
2016-03-18,0.813236,0.838667,0.808104,0.827984,556914494
2016-03-21,0.820605,0.830661,0.811769,0.830431,344841948
2016-03-22,0.827734,0.834654,0.81861,0.828963,247069120
2016-03-23,0.832559,0.849261,0.828963,0.843142,437974021
2016-03-24,0.835522,0.845877,0.832798,0.844381,250074218
2016-03-28,0.842883,0.856542,0.841914,0.852977,234044961
2016-03-29,0.849261,0.868594,0.847335,0.866617,248362197
2016-03-30,0.869812,0.887675,0.869342,0.875704,358716014
2016-03-31,0.879648,0.881584,0.865618,0.872537,370402300
2016-04-01,0.867096,0.885737,0.860486,0.885238,290424562
2016-04-04,0.892627,0.89723,0.873286,0.876712,348996390
